Id,Name,Popularity,Followers,Genres
5ENS85nZShljwNgg4wFD7D,Gabry Ponte,79,327766,"eurodance, europop, italo dance, slap house"
0TKFPt9w0AAEnhB9bd0pLy,LUM!X,76,97627,"melbourne bounce international, slap house"
3iMzbvXlgNUpoFccD60bvr,Prezioso,73,61916,"eurodance, europop, italo dance"
5czbzNZZfWpyFgZyfT3Mkk,SIDEPIECE,68,28276,"bass house, deep groove house, edm, electro house, house"
28uJnu5EsrGml2tBd7y8ts,Vintage Culture,78,1581896,brazilian edm
43BxCL6t4c73BQnIJtry5v,James Hype,67,116602,"dance pop, deep groove house, edm, house, pop dance, tropical house, uk dance"
0XfQBWgzisaS9ltDV9bXAS,Honey Dijon,48,73663,"deep house, tribal house, vocal house"
5tceE0eTO2p70lG8DTvehw,Dave Giles II,33,85,
7kBeFHrKwVJsFTP5wpRYEv,Cor.Ece,33,199,
55UOywvWbUD9c6C3NSGdft,Mike Dunn,47,12704,"chicago house, classic house, deep house, disco house, funky house, hip house, soulful house, vocal house"
3NJ94iuAmmMjbszODYT6pO,Subtronics,66,138833,"dubstep, edm, electro house, electronic trap"
3RTklnRcfHgkQJwFpgOq3t,Nevve,63,62661,
67qogtRNI0GjUr8PlaG6Zh,Zeds Dead,67,516187,"brostep, canadian electronic, dubstep, edm, electro house, electronic trap, melodic dubstep, progressive electro house"
07CimrZi5vs9iEao47TNQ4,Flowdan,54,30234,grime
6RnzEFYNyKinHv6r86yeBI,RUMTUM,33,2461,
2GE6MAdyGzeXpY9TwIYd3l,Teen Daze,49,48700,"chillwave, indie dream pop, vancouver indie"
2h7LIGXwIr6m1tZ27JHgxQ,MARIA Die RUHE,45,2345,
041iTeoMIwXMlShuQPIVKo,Klangkarussell,66,362634,"austrian pop, deep house, new french touch, tropical house"
1V7BhnZpY3khae9xpS1LfV,Scheinizzl,42,1113,
27gtK7m9vYwCyJ04zz0kIb,Lane 8,68,289929,"edm, gauze pop, progressive house, tropical house"
7KplcRAeeymaXY0iqrrbjo,Channy Leaneagh,46,305,
3VVLqeEqQQqTgT8YhfY9Z6,Emmit Fenn,65,129334,"electropop, tropical house, vapor soul"
4wknbsqzOCI7g8xihM7QP7,Dave Armstrong,26,1239,"disco house, filter house, vocal house"
2hSWsXrlPQqshm4SFizxiU,RedRoche,24,279,canadian electronic
0v3s6NHMaGxz0QGT41bnnX,H-Boogie,23,66,
60FV7KyxIH9FH1uq7u8inP,The Shapeshifters,56,60153,"deep house, disco house, diva house, house, vocal house"
5H6xmHXjsq98NLbEjuE29f,NEIKED,75,108144,"scandipop, tropical house"
1BEUkE2CSUgHTLSBMZdnFB,Mae Muller,75,95675,"alt z, uk contemporary r&b, uk pop"
1IueXOQyABrMOprrzwQJWN,Sigala,76,1371680,"dance pop, edm, pop, pop dance, tropical house"
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,79,7191576,"dance pop, edm, electropop, pop, pop rap, post-teen pop, tropical house, uk pop"
5Q81rlcTFh3k6DQJXPdsot,Mura Masa,67,593343,"channel islands indie, vapor soul"
4YUBqnGDhH4JphZIhi9cdB,Laxcity,52,25916,"future bass, vapor twitch"
6DgP9otnZw5z6daOntINxp,Joel Corry,81,245582,"dance pop, edm, pop, pop dance, tropical house, uk dance"
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,78,983077,"dance pop, edm, electro house, house, pop, pop dance, pop rap, tropical house, uk dance"
25uiPmTg16RbhZWAqwLBy5,Charli XCX,80,2526404,"art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop"
6cK3NBO6uP7hh0oyuVELFl,Saweetie,81,1472580,"cali rap, dance pop, pop, pop rap, r&b, trap queen"
0JA5uqKcjlx67kfQ5atued,Pool Boy,44,1033,
4EFMHRFpgrpfp0AVEBp4m2,Cyril Hahn,47,31294,alternative r&b
0xRXCcSX89eobfrshSVdyu,MEDUZA,80,487231,"edm, pop, pop dance, pop house, tropical house"
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,90,23741542,"big room, dance pop, edm, pop, pop dance, pop rap"
3qi5fhSI6aUecvRN0XqIJ2,MistaJam,65,7975,
34v5MVKeQnIo0CWYMbbrPf,John Newman,73,664814,
4fv1OFJywZ7DHCz3mVQQ45,Grabbitz,66,62854,"brostep, edm, electro house, gaming edm, melodic dubstep"
2rTo8KIkBTFjQS7VvaKYQ4,W&W,69,773266,"big room, dutch trance, edm, electro house, pop dance, progressive house, trance"
